Quarter,BG Group,HBB L1,HBB L2,Geo,Segment,Fiscal Year,Fiscal Quarter,Final
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY24/25,Q4,6.906643
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY25/26,Q1ACT,7.661758099999999
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY25/26,Q2ACT,5.930487500000001
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY25/26,Q3M1,6.6204815
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY25/26,Q4MT,6.732800899999999
Revenue $M,IDG,GPS,Support Services,NA,Others,FY23/24,Q1,-1.0000000000000001e-07
Revenue $M,IDG,GPS,Support Services,NA,Others,FY23/24,Q2,1.0000000000000001e-07
Revenue $M,IDG,GPS,Support Services,NA,Others,FY23/24,Q3,-1.0000000000000001e-07
Revenue $M,IDG,GPS,Support Services,NA,Others,FY23/24,Q4,0.00011059999999999999
Revenue $M,IDG,GPS,Support Services,LA,REL,FY23/24,Q1,9.084611800000001
Revenue $M,IDG,GPS,Support Services,LA,REL,FY23/24,Q2,9.454350100000001
Revenue $M,IDG,GPS,Support Services,LA,REL,FY23/24,Q3,10.549801800000001
Revenue $M,IDG,GPS,Support Services,LA,REL,FY23/24,Q4,10.301424200000003
Revenue $M,IDG,GPS,Support Services,LA,REL,FY24/25,Q1,9.944809499999998
Revenue $M,IDG,GPS,Support Services,LA,REL,FY24/25,Q2,10.379911400000001
Revenue $M,IDG,GPS,Support Services,LA,REL,FY24/25,Q3,9.3280433
Revenue $M,IDG,GPS,Support Services,LA,REL,FY24/25,Q4,10.310001700000003
Revenue $M,IDG,GPS,Support Services,LA,REL,FY25/26,Q1ACT,8.323431000000001
Revenue $M,IDG,GPS,Support Services,LA,REL,FY25/26,Q2ACT,9.1796198
Revenue $M,IDG,GPS,Support Services,LA,REL,FY25/26,Q3M1,9.842632400000001
Revenue $M,IDG,GPS,Support Services,LA,REL,FY25/26,Q4MT,8.6202877
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY23/24,Q1,4.4534125
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY23/24,Q2,4.6810739
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY23/24,Q3,4.3485191
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY23/24,Q4,3.981012
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY24/25,Q1,4.378066
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY24/25,Q2,4.178311399999999
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY24/25,Q3,4.137114700000001
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY24/25,Q4,4.2988091
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY25/26,Q1ACT,6.6382121
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY25/26,Q2ACT,7.2401260999999995
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY25/26,Q3M1,6.852224800000001
Revenue $M,IDG,GPS,Support Services,LA,SMB,FY25/26,Q4MT,5.4832242
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY23/24,Q1,1.0636993999999997
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY23/24,Q2,1.2189507999999998
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY23/24,Q3,1.1793201
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY23/24,Q4,1.3515941
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY24/25,Q1,1.1790469
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY24/25,Q2,1.1852231000000002
Revenue $M,IDG,GPS,Support Services,LA,CONS,FY24/25,Q3,1.1665541
